timestamp, frame, x, y, z, qx, qy, qz, qw, fx, fy, cx, cy, distortion_center_x, distortion_center_y
65575.597600791, 000000, -0.05574204, 0.019246144, 0.23901562, 0.71036303, -0.58647335, -0.07790033, 0.38126758, 1597.8881, 1597.8881, 955.3694, 717.7071, , 
65575.614270041, 000001, -0.05602985, 0.019177599, 0.23894715, 0.7087146, -0.5875125, -0.08093561, 0.3821022, 1597.8881, 1597.8881, 955.36646, 717.7111, , 
65575.630939333, 000002, -0.056612566, 0.019129403, 0.2376941, 0.7071801, -0.5883497, -0.083476745, 0.38310897, 1597.8881, 1597.8881, 955.36414, 717.71533, , 
65575.680947291, 000003, -0.05798644, 0.019260399, 0.2367798, 0.70585245, -0.58915436, -0.08375125, 0.3842591, 1597.8881, 1597.8881, 955.363, 717.72205, , 
65575.714285833, 000004, -0.058940843, 0.019889282, 0.23721127, 0.7077019, -0.5883407, -0.0809708, 0.38269684, 1597.8881, 1597.8881, 955.3652, 717.7171, , 
65575.730955166, 000005, -0.05984734, 0.020183178, 0.23689039, 0.7088677, -0.587698, -0.07998362, 0.38173312, 1597.8881, 1597.8881, 955.3659, 717.7135, , 
65575.764293625, 000006, -0.061146073, 0.020544888, 0.23704739, 0.7100505, -0.58694893, -0.07932213, 0.38082433, 1597.4362, 1597.4362, 955.36646, 717.7081, , 
65575.780962958, 000007, -0.061681606, 0.020486787, 0.23701788, 0.7099986, -0.58688444, -0.07948719, 0.38098612, 1597.4362, 1597.4362, 955.36646, 717.7079, , 
65575.79763225, 000008, -0.062226176, 0.020330347, 0.23686509, 0.70976746, -0.5868358, -0.07976078, 0.38143432, 1597.4362, 1597.4362, 955.36646, 717.70844, , 
65575.83097075, 000009, -0.06317427, 0.019783538, 0.23614068, 0.70925933, -0.58655864, -0.07996327, 0.38276115, 1597.4362, 1597.4362, 955.3673, 717.7103, , 
65575.847640083, 000010, -0.06358153, 0.019416481, 0.23566006, 0.7090451, -0.5863545, -0.0799386, 0.38347515, 1597.8881, 1597.8881, 955.36786, 717.71106, , 
65575.880978708, 000011, -0.064538784, 0.018495299, 0.23473716, 0.7087283, -0.58590555, -0.079350114, 0.38486677, 1597.8881, 1597.8881, 955.3695, 717.7125, , 
65575.897647833, 000012, -0.06507091, 0.017977633, 0.2342468, 0.70870274, -0.585508, -0.07869572, 0.38565248, 1597.8881, 1597.8881, 955.3708, 717.713, , 
65575.91431725, 000013, -0.06563208, 0.017489053, 0.23378107, 0.7087959, -0.5850359, -0.07787265, 0.38636407, 1597.8881, 1597.8881, 955.3726, 717.71313, , 
65575.947655833, 000014, -0.066720866, 0.016965704, 0.23258407, 0.7091194, -0.58430535, -0.07637352, 0.38717434, 1597.8881, 1597.8881, 955.3752, 717.71246, , 
65575.964325166, 000015, -0.06719021, 0.016737493, 0.23230742, 0.70929605, -0.58412486, -0.0758609, 0.38722387, 1597.8881, 1597.8881, 955.3761, 717.7119, , 
65575.997663625, 000016, -0.06790688, 0.01637286, 0.23195124, 0.70943475, -0.584136, -0.07520379, 0.3870811, 1597.8881, 1597.8881, 955.3766, 717.7114, , 
65576.014332958, 000017, -0.0682279, 0.016248124, 0.23178115, 0.70940787, -0.5841585, -0.074963205, 0.387143, 1597.8881, 1597.8881, 955.37695, 717.7117, , 
65576.031002291, 000018, -0.06871601, 0.01605346, 0.23126815, 0.70936495, -0.5842315, -0.074905604, 0.3871228, 1597.8881, 1597.8881, 955.37714, 717.71173, , 
65576.064340791, 000019, -0.0693518, 0.016037192, 0.2308756, 0.7091884, -0.5845414, -0.07493106, 0.38697356, 1597.8881, 1597.8881, 955.37695, 717.7122, , 
65576.081010125, 000020, -0.06959855, 0.01609534, 0.23079479, 0.709035, -0.58477914, -0.0751926, 0.38684475, 1597.8881, 1597.8881, 955.37646, 717.7126, , 
65576.114348791, 000021, -0.07001059, 0.016242767, 0.23077297, 0.708784, -0.5853041, -0.075980514, 0.38635644, 1597.8881, 1597.8881, 955.3752, 717.7131, , 
65576.131017958, 000022, -0.070058964, 0.016579159, 0.23052695, 0.7087224, -0.58537906, -0.07619249, 0.3863141, 1597.8881, 1597.8881, 955.3744, 717.71326, , 
65576.14768725, 000023, -0.07019881, 0.016740859, 0.23043315, 0.7087233, -0.58550984, -0.07625607, 0.38610166, 1597.8881, 1597.8881, 955.374, 717.71326, , 
65576.181025958, 000024, -0.07046669, 0.016785659, 0.23033252, 0.70883036, -0.58584243, -0.07595556, 0.3854595, 1597.8881, 1597.8881, 955.37354, 717.71277, , 
65576.197695041, 000025, -0.070583716, 0.016655495, 0.23022051, 0.70884967, -0.5860236, -0.075547375, 0.38522863, 1597.8881, 1597.8881, 955.37354, 717.7127, , 
65576.23103375, 000026, -0.070768096, 0.016221598, 0.2297039, 0.7085499, -0.58653575, -0.07438617, 0.38522658, 1597.8881, 1597.8881, 955.37427, 717.7142, , 
65576.247703083, 000027, -0.070910715, 0.015944786, 0.22933197, 0.70832616, -0.5867196, -0.07376148, 0.38547808, 1597.8881, 1597.8881, 955.3747, 717.71515, , 
65576.264372333, 000028, -0.07109601, 0.015504204, 0.22893995, 0.70816183, -0.5868194, -0.07302554, 0.38576823, 1597.8881, 1597.8881, 955.3754, 717.71594, , 
65576.297710875, 000029, -0.071525715, 0.014257282, 0.22803988, 0.7078904, -0.58675396, -0.07101456, 0.38673997, 1597.8881, 1597.8881, 955.3781, 717.71783, , 
65576.314380166, 000030, -0.07173433, 0.013436623, 0.22749339, 0.70779186, -0.58656603, -0.069546945, 0.38747147, 1597.8881, 1597.8881, 955.3798, 717.7188, , 
65576.347718666, 000031, -0.07200814, 0.01179076, 0.22622612, 0.70775235, -0.5857874, -0.06625579, 0.38929406, 1597.4362, 1597.4362, 955.3852, 717.7207, , 
65576.364388041, 000032, -0.07211939, 0.010683782, 0.22564463, 0.7076999, -0.58541906, -0.06476721, 0.39019307, 1597.4362, 1597.4362, 955.3875, 717.72144, , 
65576.381057333, 000033, -0.07216598, 0.009451612, 0.22501884, 0.7075664, -0.5850818, -0.06332987, 0.39117575, 1597.8881, 1597.8881, 955.3906, 717.7228, , 
65576.414395791, 000034, -0.07192965, 0.0067737186, 0.22352386, 0.70710564, -0.5846358, -0.060240913, 0.3931584, 1597.8881, 1597.8881, 955.3954, 717.72565, , 
65576.431065208, 000035, -0.07159112, 0.0053795693, 0.22279502, 0.7067781, -0.5847312, -0.0583376, 0.3938919, 1597.8881, 1597.8881, 955.39777, 717.72723, , 
65576.4477345, 000036, -0.07105868, 0.0040011033, 0.2219577, 0.70643264, -0.58499974, -0.05610801, 0.3944364, 1597.8881, 1597.8881, 955.4011, 717.72955, , 
65576.481073166, 000037, -0.069263764, 0.0014328957, 0.21994953, 0.70577526, -0.586185, -0.050728556, 0.39458203, 1597.4362, 1597.4362, 955.4061, 717.7335, , 
65576.497742291, 000038, -0.068019465, 0.00031582915, 0.21891816, 0.70546997, -0.5871024, -0.048053104, 0.39409864, 1597.4362, 1597.4362, 955.4088, 717.73596, , 
65576.514411666, 000039, -0.0665482, -0.0006824434, 0.21789552, 0.70514077, -0.58820236, -0.045744363, 0.39332154, 1597.4362, 1597.4362, 955.41016, 717.7377, , 
65576.54775025, 000040, -0.06281099, -0.0025098315, 0.21635377, 0.70449346, -0.591009, -0.042122874, 0.39066982, 1597.4362, 1597.4362, 955.4104, 717.7413, , 
65576.564419625, 000041, -0.06053088, -0.0032672063, 0.21535197, 0.7042032, -0.5926107, -0.040427968, 0.38894224, 1597.4362, 1597.4362, 955.40985, 717.74255, , 
65576.597758125, 000042, -0.05531185, -0.0048239008, 0.21287237, 0.7038422, -0.59567225, -0.035951894, 0.38534167, 1597.4362, 1597.4362, 955.40924, 717.7444, , 
65576.614427458, 000043, -0.0523272, -0.0057237, 0.21132833, 0.7036835, -0.5971544, -0.032861494, 0.38360953, 1597.4362, 1597.4362, 955.4103, 717.7457, , 
65576.631096833, 000044, -0.0487471, -0.0070092306, 0.20977917, 0.70354265, -0.5986561, -0.029246474, 0.38181564, 1597.4362, 1597.4362, 955.41156, 717.7467, , 
65576.664435333, 000045, -0.041074865, -0.009375773, 0.20592104, 0.70355046, -0.6015875, -0.02061907, 0.37773553, 1597.8881, 1597.8881, 955.4162, 717.7483, , 
65576.681104625, 000046, -0.036868416, -0.0105899535, 0.20376484, 0.70365673, -0.60302436, -0.016098088, 0.37545928, 1597.8881, 1597.8881, 955.41833, 717.74854, , 
65576.697773875, 000047, -0.032360576, -0.011837959, 0.20148982, 0.70375174, -0.604576, -0.011516171, 0.37294602, 1597.8881, 1597.8881, 955.4203, 717.7486, , 
65576.731112458, 000048, -0.02249822, -0.014504597, 0.19650766, 0.7035925, -0.60797536, -0.0016882055, 0.36785957, 1597.8881, 1597.8881, 955.42505, 717.74963, , 
65576.74778175, 000049, -0.017327726, -0.015853927, 0.19368267, 0.70335126, -0.6096505, 0.0036485693, 0.365527, 1597.4362, 1597.4362, 955.42773, 717.7504, , 
65576.764451041, 000050, -0.012017593, -0.01720966, 0.1906211, 0.70292044, -0.61132306, 0.009088426, 0.36346164, 1597.4362, 1597.4362, 955.4321, 717.75226, , 
65576.781120416, 000051, -0.006522998, -0.018537637, 0.18740344, 0.7023392, -0.6130279, 0.014402306, 0.36153722, 1597.4362, 1597.4362, 955.43555, 717.7541, , 
65576.814458916, 000052, 0.0051329844, -0.02093621, 0.18080057, 0.7010652, -0.6165879, 0.024339601, 0.3573996, 1597.4362, 1597.4362, 955.4424, 717.7584, , 
65576.831128208, 000053, 0.011424944, -0.022159137, 0.17780381, 0.70039976, -0.61852974, 0.028898314, 0.35500127, 1597.8881, 1597.8881, 955.44446, 717.7601, , 
65576.847797541, 000054, 0.017894216, -0.02330025, 0.1746864, 0.6996063, -0.62056106, 0.03300915, 0.35265476, 1597.8881, 1597.8881, 955.4462, 717.762, , 
65576.881136083, 000055, 0.03128113, -0.025282297, 0.16762663, 0.697415, -0.62493676, 0.040058434, 0.34851354, 1597.8881, 1597.8881, 955.44904, 717.7684, , 
65576.897805416, 000056, 0.038263664, -0.026241075, 0.16387282, 0.69606394, -0.627307, 0.043096032, 0.34658858, 1597.8881, 1597.8881, 955.4497, 717.7721, , 
